model,family,feature_set,cutoff,mtu_minutes,crps,pinball_p10,pinball_p50,pinball_p90,mae,skill_score_crps,train_wall_clock,inference_wall_clock,zone
lgbm,gbdt,full-features,2023-01-01,60,11.744421582447208,2.369173975609003,9.154245815580273,6.093212582481532,18.308491631160546,0.07947054873046067,0.10022060500341468,0.0032059799996204674,SE1
lgbm,gbdt,full-features,2024-01-01,60,9.756244629127645,2.4223648633260377,5.683687502604634,6.528314577760795,11.367375005209269,0.15153867775822194,0.11920950500643812,0.0031191949965432286,SE1
lgbm,gbdt,full-features,2025-01-01,60,3.363720305395559,0.5755172429970413,1.9299491957128307,2.5401140193834664,3.8598983914256615,-0.03791832514133997,0.15837225699942792,0.003201722000085283,SE1
xgboost,gbdt,full-features,2023-01-01,60,10.151941549910438,2.2080549713373183,9.390831777254741,3.6290255762736,18.781663554509482,0.2042893625151846,0.5026865300023928,0.003256256000895519,SE1
xgboost,gbdt,full-features,2024-01-01,60,8.134806596438091,3.042272727489472,6.592932677268981,2.567004489898681,13.185865354537961,0.29254861646369457,0.43533615399792325,0.003251175003242679,SE1
xgboost,gbdt,full-features,2025-01-01,60,3.5211136736472444,0.5264438968698184,1.2436003299554188,3.5116262836456293,2.4872006599108376,-0.08648403403874871,0.5797788509953534,0.003204556996934116,SE1
catboost,gbdt,full-features,2023-01-01,60,13.100125467977705,2.1444268858968236,9.032616596148378,8.473144719921354,18.065233192296756,-0.0267897166279063,0.43448331500258064,0.0020777859972440638,SE1
catboost,gbdt,full-features,2024-01-01,60,12.85345012658947,2.8264594563556393,6.7284690768043545,9.725246656724213,13.456938153608709,-0.11781281674873112,0.4863684930023737,0.0020980859990231693,SE1
catboost,gbdt,full-features,2025-01-01,60,2.1742893426536942,0.5746209490368483,1.4569525300660777,1.2298605348776148,2.9139050601321554,0.329095600106857,0.6268703340028878,0.0024029049964156,SE1
chronos2,foundation,full-features,2023-01-01,60,10.96243072237707,2.8403820519298244,8.492484926286116,5.110779105349663,16.98496985257223,0.14076310471244402,0.004991231005988084,252.66943332800292,SE1
chronos2,foundation,full-features,2024-01-01,60,5.445386177425839,1.7139464757715777,5.3233655701774785,1.1307672201897025,10.646731140354957,0.5264366842112542,0.0057788160047493875,253.56336394299433,SE1
