feature,importance
lag_2d,-0.0
lag_3d,-0.0
lag_28d,-0.0
is_holiday,-0.0
SE3_temperature_2m,-0.0
SE3_wind_speed_10m,-0.0
SE3_precipitation,-0.0
SE3_snowfall,-0.0
SE3_wind_speed_100m,-0.0
month_cos,-0.006491435725962802
dow_sin,-0.007878910270528294
lag_14d,-0.009947827845190105
scheduled_exchange_mwh,-0.01692371918668485
fx_sek_eur,-0.03583383652814724
month_sin,-0.03894288377620292
lag_7d,-0.04985323221459446
SE3_shortwave_radiation,-0.05986664576453009
hour_cos,-0.07510201377933079
hour_sin,-0.08070619807232937
roll_mean_7d,-0.13684526847637174
dow_cos,-0.13878418601753814
roll_std_7d,-0.25503024252140316
hydro_storage_mwh,-0.29557851850200373
carbon_eua,-0.5923636885982309
net_position_mwh,-2.7719040215172654
lag_1d,-4.140159612111847
regime,-18.66806792706605
neighbour_price_eur_mwh,-19.87268359988396
